company_name,job_title,job_location,job_salary,job_description
Gerbou,Head Hostesss,Dubai,7452.380952380952,"Ensure the *seating process is smooth and efficient*, managing reservations and walk-ins with professionalism. Head Hostess: 5 years (Required).&hellip;"
7 Emirates Real Estate,Senior Property Consultant,Dubai,7452.380952380952,*Must have a Valid Dubai driving license*. Conduct market research and provide accurate property valuations. Minimum 2 - 3 years of experience in the Dubai real…&hellip;
Confidential,Nail Technician,Abu Dhabi,7452.380952380952,"Candidate needs to be Available To start Immediately - Experienced Nail technician that can perform all nails services, mani pedi , Extentions , hard gel ,…&hellip;"
ONREST VACATION HOMES RENTAL,Mason,Dubai,7452.380952380952,Valid driver's license may be required. Strong attention to detail for achieving quality finishes and accurate installations.&hellip;
Medical Health Centre,Obstetrics & Gynecologist,Abu Dhabi,7452.380952380952,Recording and updating patients' medical histories. We are looking to employ a dedicated and experienced Obstetrics &Gynecologist to diagnose and treat patients…&hellip;
German Experts Car Maintenance LLC,INFINITI TEAM LEADER,Abu Dhabi,7452.380952380952,Job Purpose:* Oversee and monitor activities of the workshop team to ensure vehicles are repaired in accordance to established quality and safety standards and…&hellip;
Shining star diesel trading,Accountant,Ajman,7452.380952380952,"Ultimately, you will provide us with accurate quantitative information on financial position, liquidity and cash flows of our business, while ensuring we’re…&hellip;"
AVAN STRATEGIC INVESTMENTS LLC,Light Vehicle Driver,Dubai,7452.380952380952,Valid UAE driving license (Required). Adhering to all traffic laws and regulations while driving responsibly. Should be between the age bracket of 21 – 50 Years…&hellip;
International Montessori Nursery,Nursery Manager,Abu Dhabi,7452.380952380952,"A minimum of 4 years of experience in a childcare or early education setting, with at least 2 year in a management role.&hellip;"
Bramwell and partners real estate,Listing Coordinator/ Real Estate,Abu Dhabi,7452.380952380952,"Create and update property listings with accurate details, high-quality photos, and marketing descriptions. Track deadlines and ensure that all necessary steps…&hellip;"
Lincoln University Of Business and Management,Social Media Intern,Sharjah,7452.380952380952,Help maintain a consistent brand voice across all platforms. We are seeking a creative and enthusiastic Social Media Intern to join our dynamic marketing team.&hellip;
MAHARA HEALTH CARE,Speech Therapist,Abu Dhabi,7452.380952380952,"Valid license to practice as a Speech Therapist. Collaborate with families, caregivers, and other healthcare professionals to ensure optimal care.&hellip;"
HCcareersAE,Export Sales Coordinator,Sharjah,7452.380952380952,Manage sales contracts and ensure all contractual obligations are met. Handle all export documentation and ensure compliance with international trade…&hellip;
Desert Harbour Tourism LLC,Operations Executive,Dubai,7452.380952380952,"Fulfill forms and links from suppliers. Coordinate with Sales team, Account team to deliver all requests of the clients. Keep records of each and every deal.&hellip;"
WORKSPACE,AutoCAD Drafter,Dubai,7452.380952380952,"Main responsibility is the preparation of all drawings for fit-out works. _*Key objectives of the role:*_. Including floor plans, RCP drawings, and electrical.&hellip;"
Beauty Lounge,Senior Nail/ lash technician,Dubai,7452.380952380952,Lash master all type of lashes. With Minium of 4 Years UAE Experience. Experienced and Professional Femal Nail Technicians.&hellip;
Val Morgan Consultancy DMCC,Document Controller,Dubai,7452.380952380952,"Document Controller responsibilities include typing contracts, archiving files and ensuring all team members have access to necessary documentation.&hellip;"
Aaa,Media Buyer,Dubai,7452.380952380952,Social media marketing: 2 years (Required). Social media expert and media buyer to create and handle all social media platform of a clinics and develop and…&hellip;
On Point 3D,General Helper,Dubai,7452.380952380952,We are looking for a general helper to help in our production - Help all the necessary works in production - must have great attitude - willingness to…&hellip;
Divine Bricks Real Estate LLC,Real Estate Consultant,Dubai,7452.380952380952,"Dubai driving license is an added advantage not a must. Real Estate: 2 years (Required). Annual leave plus all UAE national holidays, Christmas day and New Year…&hellip;"
